"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1051.063,1118.949,1113.278,1240.52,1306.832,1464.962,1512.382,1788.413,1908.458,2010.827,2317.687,2385.706,2516.011,2534.919,2400.615,2515.553,2447.224,2537.455,2454.073,2144.052,2116.334,no data,no data,no data,no data,no data,no data,no data
Albania,2155.435,2444.395,2614.863,2689.498,2783.124,2770.514,2927.422,2917.125,2922.065,3245.816,2976.524,2228.982,2128.504,2402.746,2701.269,3021.961,3378.254,3080.303,3411.354,3930.411,4326.13,4835.563,5148.904,5561.608,6051.35,6619.815,7272.491,7976.495,8807.247,9220.736,9726.931,10207.743,10526.271,10570.982,11259.261,11661.999,12077.602,13039.696,13881.427,14418.218,14141.507,16134.746,18148.805,19484.587,20632.444,21779.153,23045.765,24382.149,25804.36,27319.993
Algeria,5214.199,5701.588,6240.959,6618.321,7015.838,7290.116,7226.702,7165.382,7065.762,7508.365,7750.631,7724.918,7835.49,7670.646,7593.955,7889.641,8191.669,8285.652,8668.22,8933.522,9314.874,9668.362,10196.694,10910.645,11537.572,12350.678,12902.094,13462.489,13760.434,13736.5,14285.348,14714.19,14411.304,14239.859,14461.054,13493.328,13038.562,12998.363,13216.093,13299.019,12673.926,13535.38,14775.633,15718.072,16482.6,17065.172,17601.898,18095.748,18603.411,19130.334
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50894.764,52326.275,51193.13,50929.548,52686.154,52747.885,55695.334,56352.197,57495.778,58588.585,52404.246,58214.518,66555.321,67638.329,69146.025,70033.183,71015.82,72014.847,73029.388,74073.044
Angola,1316.581,1341.479,1387.663,1464.232,1566.686,1484.486,1515.005,1575.668,1685.557,1705.605,1663.97,1865.043,2057.127,2264.154,2475.12,2698.644,2955.953,3119.85,3196.371,3207.151,3272.094,3373.814,3766.721,3823.175,4205.898,4815.314,5341.657,6031.461,6587.775,6442.897,6587.404,6700.114,7389.315,7643.922,8123.048,7274.09,7027.147,7210.026,7030.284,6861.141,6348.855,6510.164,6937.881,7014.153,7152.505,7287.741,7453.539,7631.004,7818,8016.071
Antigua and Barbuda,3997.153,4578.136,4913.253,5458.066,6331.944,7151.195,8277.003,9203.863,10176.861,11233.977,12017.219,12591.188,12817.44,13508.626,14346.222,13639.715,14407.264,15032.311,15496.883,15905.687,16917.435,16234.797,16489.489,17666.8,18998.132,20651.029,23741.217,26368.789,26571.625,23266.66,21447.064,21223.826,20413.946,19531.897,19714.499,19498.26,20431.147,20231.285,21773.551,22756.186,18740.905,20581.921,23554.466,25484.598,27309.012,28529.262,29483.886,30472.404,31498.859,32570.713
Argentina,6172.715,6256.712,6327.413,6725.348,6988.374,6595.493,7117.599,7394.23,7414.586,7077.727,7095.181,7997.057,8900.242,9538.737,10179.638,9973.655,10590.737,11513.456,11956.479,11588.607,11634.449,11257.963,10089.756,11105.543,12304.627,13682.76,15091.75,16731.235,17571.678,16472.51,18066.479,19322.227,19641.353,20131.68,19683.772,20105.199,20307.87,23597.118,23268.349,22956.346,20754.382,23805.807,26498.412,26765.728,26389.67,27919.622,29430.115,30846.939,32083.576,33117.661
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1624.848,1463.525,1613.806,1818.686,1978.44,2100.607,2279.206,2400.17,2606.63,2936.744,3435.211,4008.423,4562.289,5405.115,6328.193,7418.015,8113.359,7031.882,7282.871,7778.182,9093.972,9563.81,9792.081,9753.364,10502.091,11974.031,12933.698,14184.445,13349.231,14751.883,17779.33,20031.622,21746.233,23289.803,24794.557,26397.488,28104.608,29928.116
Aruba,no data,no data,no data,no data,no data,no data,12182.484,14656.241,17899.609,20429.117,21196.804,22794.476,23844.78,24529.259,25743.018,26194.78,25963.173,27190.217,27361.101,27749.797,30245.881,31920.338,31888.527,32506.911,35059.077,35099.045,35937.632,37768.982,38905.155,34339.749,33729.368,35324.146,34120.732,35954.193,35735.553,36078.41,36250.021,37690.202,39409.201,39042.223,30241.364,40701.961,48299.245,52796.321,54715.703,56308.792,58090.135,59946.867,61885.503,63899.62
